datetime,location,lat,lon,pm1,pm10,pm25,relativehumidity,temperature,um003,pm25_zscore,temperature_zscore,relativehumidity_zscore
2025-01-01T23:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.58,3.12,48.13,6.09,367.12,-0.19,-0.98,0.26
2025-01-02T00:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.04,3.12,47.76,6.16,285.75,-0.19,-0.97,0.23
2025-01-02T00:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.17,,0.62,45.16,10.87,,-1.0,-0.01,0.02
2025-01-02T01:00:00-05:00,Charlotte-2490581,35.23,-80.84,2.17,,0.38,45.16,10.87,,-1.08,-0.01,0.02
2025-01-02T01:00:00-05:00,Charlotte-1224494,35.23,-80.84,,2.08,3.12,46.32,5.92,238.88,-0.19,-1.02,0.11
2025-01-02T02:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.92,,0.29,45.16,10.87,,-1.11,-0.01,0.02
2025-01-02T02:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.79,3.12,46.78,5.14,200.25,-0.19,-1.18,0.15
2025-01-02T03:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.08,,0.04,45.16,10.87,,-1.19,-0.01,0.02
2025-01-02T03:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.08,3.12,46.97,4.7,146.25,-0.19,-1.27,0.17
2025-01-02T04:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.42,3.12,47.15,4.45,170.0,-0.19,-1.32,0.18
2025-01-02T04:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.54,,0.17,45.16,10.87,,-1.15,-0.01,0.02
2025-01-02T05:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.83,,0.04,45.16,10.87,,-1.19,-0.01,0.02
2025-01-02T05:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.83,3.12,50.23,3.64,158.5,-0.19,-1.48,0.43
2025-01-02T06:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.25,3.12,52.8,2.99,174.88,-0.19,-1.61,0.64
2025-01-02T06:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.54,,0.04,45.16,10.87,,-1.19,-0.01,0.02
2025-01-02T07:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.29,,0.75,45.16,10.87,,-0.96,-0.01,0.02
2025-01-02T07:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.08,3.12,55.2,2.36,317.62,-0.19,-1.74,0.84
2025-01-02T08:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.21,,0.83,45.16,10.87,,-0.94,-0.01,0.02
2025-01-02T08:00:00-05:00,Charlotte-1224494,35.23,-80.84,,2.92,3.12,57.18,1.92,307.38,-0.19,-1.83,1.0
2025-01-02T09:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.5,3.12,57.65,2.61,344.12,-0.19,-1.69,1.04
2025-01-02T09:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.67,,1.08,45.16,10.87,,-0.85,-0.01,0.02
2025-01-02T10:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.04,3.12,49.12,5.17,291.62,-0.19,-1.17,0.34
2025-01-02T10:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.29,,0.71,45.16,10.87,,-0.97,-0.01,0.02
2025-01-02T11:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.25,3.12,29.2,14.75,381.12,-0.19,0.78,-1.28
2025-01-02T11:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.38,,1.17,45.16,10.87,,-0.82,-0.01,0.02
2025-01-02T12:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.46,3.12,19.41,19.42,440.75,-0.19,1.73,-2.08
2025-01-02T12:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.54,,1.58,45.16,10.87,,-0.69,-0.01,0.02
2025-01-02T13:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.38,,1.54,45.16,10.87,,-0.7,-0.01,0.02
2025-01-02T13:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.29,3.12,16.85,19.86,449.5,-0.19,1.82,-2.29
2025-01-02T14:00:00-05:00,Charlotte-2490581,35.23,-80.84,4.54,,1.79,45.16,10.87,,-0.62,-0.01,0.02
2025-01-02T14:00:00-05:00,Charlotte-1224494,35.23,-80.84,,4.29,3.12,19.04,15.42,523.62,-0.19,0.91,-2.11
2025-01-02T15:00:00-05:00,Charlotte-1224494,35.23,-80.84,,4.71,3.12,21.66,13.21,515.5,-0.19,0.47,-1.9
2025-01-02T15:00:00-05:00,Charlotte-2490581,35.23,-80.84,4.75,,1.96,45.16,10.87,,-0.57,-0.01,0.02
2025-01-02T16:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.5,,1.46,45.16,10.87,,-0.73,-0.01,0.02
2025-01-02T16:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.42,3.12,23.78,11.27,455.12,-0.19,0.07,-1.72
2025-01-02T17:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.33,,1.04,45.16,10.87,,-0.87,-0.01,0.02
