location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-02-24T19:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','942.875']
['1235978','7973146','Charlotte-1224494','2025-02-24T23:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','2045.125']
['1235978','6530128','Charlotte-1224494','2025-02-25T02:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','16.416666666666668']
['1235978','6530128','Charlotte-1224494','2025-02-25T06:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','21.791666666666668']
