location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530128','Charlotte-1224494','2025-03-14T16:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','22.833333333333332']
['1235978','6530128','Charlotte-1224494','2025-03-14T20:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','37.5']
['1235978','6530128','Charlotte-1224494','2025-03-15T00:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','32.666666666666664']
['1235978','7970784','Charlotte-2490581','2025-03-14T04:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','19.041666666666668']
['1235978','7970784','Charlotte-2490581','2025-03-14T08:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','14.75']
