location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530128','Charlotte-1224494','2025-01-05T16:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','3.9166666666666665']
['1235978','6530128','Charlotte-1224494','2025-01-05T21:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','12.954545454545455']
['1235978','7973164','Charlotte-1224494','2025-01-05T01:00:00-05:00','35.2271','-80.8431','relativehumidity','%','43.32499980926514']
['1235978','7973164','Charlotte-1224494','2025-01-05T05:00:00-05:00','35.2271','-80.8431','relativehumidity','%','49.329166412353516']
['1235978','7973164','Charlotte-1224494','2025-01-05T09:00:00-05:00','35.2271','-80.8431','relativehumidity','%','53.96666653951009']
['1235978','7973164','Charlotte-1224494','2025-01-05T13:00:00-05:00','35.2271','-80.8431','relativehumidity','%','25.52916685740153']
