location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530108','Charlotte-1224494','2025-02-26T06:00:00-05:00','35.2271','-80.8431','temperature','c','2.865619699160258']
['1235978','6530108','Charlotte-1224494','2025-02-26T10:00:00-05:00','35.2271','-80.8431','temperature','c','13.494167248407999']
['1235978','6530108','Charlotte-1224494','2025-02-26T14:00:00-05:00','35.2271','-80.8431','temperature','c','25.045010248819988']
['1235978','6530108','Charlotte-1224494','2025-02-26T18:00:00-05:00','35.2271','-80.8431','temperature','c','17.702895164489746']
