location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7970962','Charlotte-2490581','2025-01-10T14:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','5.958333333333333']
['1235978','7970962','Charlotte-2490581','2025-01-10T18:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','7.208333333333333']
['1235978','7970962','Charlotte-2490581','2025-01-10T22:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','8.958333333333334']
['1235978','6530128','Charlotte-1224494','2025-01-10T02:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','6.75']
['1235978','6530128','Charlotte-1224494','2025-01-10T06:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','5.666666666666667']
