location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530128','Charlotte-1224494','2025-03-18T09:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','4.916666666666667']
['1235978','6530128','Charlotte-1224494','2025-03-18T13:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','1.2916666666666667']
['1235978','6530128','Charlotte-1224494','2025-03-18T17:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','0.875']
['1235978','6530128','Charlotte-1224494','2025-03-18T21:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','4.083333333333333']
['1235978','7970784','Charlotte-2490581','2025-03-18T01:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','0.4166666666666667']
