location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-04-09T09:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','227.375']
['1235978','7973146','Charlotte-1224494','2025-04-09T13:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','275.125']
['1235978','7973146','Charlotte-1224494','2025-04-09T17:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','656.375']
['1235978','7973146','Charlotte-1224494','2025-04-09T21:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','836.375']
