location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-02-23T18:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','754.375']
['1235978','7973146','Charlotte-1224494','2025-02-23T22:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','1691.125']
['1235978','6530128','Charlotte-1224494','2025-02-24T01:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','19.166666666666668']
['1235978','6530128','Charlotte-1224494','2025-02-24T05:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','18.083333333333332']
