location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7970784','Charlotte-2490581','2025-02-26T22:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','6.208333333333333']
['1235978','7973164','Charlotte-1224494','2025-02-26T02:00:00-05:00','35.2271','-80.8431','relativehumidity','%','52.563636086203836']
['1235978','7973164','Charlotte-1224494','2025-02-26T06:00:00-05:00','35.2271','-80.8431','relativehumidity','%','58.316667238871254']
['1235978','7973164','Charlotte-1224494','2025-02-26T10:00:00-05:00','35.2271','-80.8431','relativehumidity','%','40.47500022252401']
