location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-02-22T02:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','1077.875']
['1235978','7973146','Charlotte-1224494','2025-02-22T06:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','388.25']
['1235978','7973146','Charlotte-1224494','2025-02-22T10:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','478.75']
['1235978','7973146','Charlotte-1224494','2025-02-22T14:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','746.25']
