location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7970784','Charlotte-2490581','2025-04-05T15:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','3.0416666666666665']
['1235978','7970784','Charlotte-2490581','2025-04-05T19:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','3.0416666666666665']
['1235978','7970784','Charlotte-2490581','2025-04-05T23:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','3.5']
['1235978','7973164','Charlotte-1224494','2025-04-05T03:00:00-04:00','35.2271','-80.8431','relativehumidity','%','67.62916692097981']
['1235978','7973164','Charlotte-1224494','2025-04-05T07:00:00-04:00','35.2271','-80.8431','relativehumidity','%','69.97916793823242']
