location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7970962','Charlotte-2490581','2025-01-04T15:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.9166666666666666']
['1235978','7970962','Charlotte-2490581','2025-01-04T19:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','6.125']
['1235978','7970962','Charlotte-2490581','2025-01-04T23:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','16.791666666666668']
['1235978','6530128','Charlotte-1224494','2025-01-04T03:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.9166666666666666']
['1235978','6530128','Charlotte-1224494','2025-01-04T07:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','1.2083333333333333']
['1235978','6530128','Charlotte-1224494','2025-01-04T11:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','1.6666666666666667']
