location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-03-03T21:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','1039.625']
['location_id','sensors_id','location','datetime','lat','lon','parameter','units','value']
['1235978','6530128','Charlotte-1224494','2025-03-04T04:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','5.333333333333333']
['1235978','6530128','Charlotte-1224494','2025-03-04T08:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','7.666666666666667']
