location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-03-15T21:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','944.25']
['location_id','sensors_id','location','datetime','lat','lon','parameter','units','value']
['1235978','7970784','Charlotte-2490581','2025-03-16T04:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','2.2916666666666665']
['1235978','7970784','Charlotte-2490581','2025-03-16T08:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','2.6666666666666665']
['1235978','7970784','Charlotte-2490581','2025-03-16T12:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','0.2916666666666667']
