location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530108','Charlotte-1224494','2025-03-26T11:00:00-04:00','35.2271','-80.8431','temperature','c','13.526753425598145']
['1235978','6530108','Charlotte-1224494','2025-03-26T15:00:00-04:00','35.2271','-80.8431','temperature','c','19.954262415568035']
['1235978','6530108','Charlotte-1224494','2025-03-26T19:00:00-04:00','35.2271','-80.8431','temperature','c','15.16960334777832']
['1235978','6530108','Charlotte-1224494','2025-03-26T23:00:00-04:00','35.2271','-80.8431','temperature','c','9.200862566630045']
['1235978','7973146','Charlotte-1224494','2025-03-26T03:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','293.25']
