location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973164','Charlotte-1224494','2025-04-17T15:00:00-04:00','35.2271','-80.8431','relativehumidity','%','18.229166825612385']
['1235978','7973164','Charlotte-1224494','2025-04-17T19:00:00-04:00','35.2271','-80.8431','relativehumidity','%','19.8791667620341']
['1235978','7973164','Charlotte-1224494','2025-04-17T23:00:00-04:00','35.2271','-80.8431','relativehumidity','%','39.42083326975504']
['1235978','6530108','Charlotte-1224494','2025-04-17T03:00:00-04:00','35.2271','-80.8431','temperature','c','6.184271931648254']
['1235978','6530108','Charlotte-1224494','2025-04-17T07:00:00-04:00','35.2271','-80.8431','temperature','c','5.270031889279683']
