location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973164','Charlotte-1224494','2025-04-20T23:00:00-04:00','35.2271','-80.8431','relativehumidity','%','57.04999987284342']
['1235978','6530108','Charlotte-1224494','2025-04-20T03:00:00-04:00','35.2271','-80.8431','temperature','c','15.552214940388998']
['1235978','6530108','Charlotte-1224494','2025-04-20T07:00:00-04:00','35.2271','-80.8431','temperature','c','14.029823144276937']
['1235978','6530108','Charlotte-1224494','2025-04-20T11:00:00-04:00','35.2271','-80.8431','temperature','c','17.39680576324463']
['1235978','6530108','Charlotte-1224494','2025-04-20T15:00:00-04:00','35.2271','-80.8431','temperature','c','25.020845413208008']
