location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-03-22T08:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','947.875']
['1235978','7973146','Charlotte-1224494','2025-03-22T12:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','931.625']
['1235978','7973146','Charlotte-1224494','2025-03-22T16:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','1384.5']
['1235978','7973146','Charlotte-1224494','2025-03-22T20:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','629.75']
