location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973164','Charlotte-1224494','2025-03-19T16:00:00-04:00','35.2271','-80.8431','relativehumidity','%','13.004166762034098']
['1235978','7973164','Charlotte-1224494','2025-03-19T20:00:00-04:00','35.2271','-80.8431','relativehumidity','%','18.487499872843426']
['1235978','7973164','Charlotte-1224494','2025-03-20T00:00:00-04:00','35.2271','-80.8431','relativehumidity','%','32.20000012715658']
['1235978','6530108','Charlotte-1224494','2025-03-19T04:00:00-04:00','35.2271','-80.8431','temperature','c','6.095667004585266']
['1235978','6530108','Charlotte-1224494','2025-03-19T08:00:00-04:00','35.2271','-80.8431','temperature','c','4.174553950627645']
