location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530128','Charlotte-1224494','2025-01-11T20:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','3.5833333333333335']
['1235978','7970784','Charlotte-2490581','2025-01-11T06:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','2.4166666666666665']
['1235978','7970784','Charlotte-2490581','2025-01-11T10:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','2.875']
['1235978','7970784','Charlotte-2490581','2025-01-11T21:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','1.7916666666666667']
['1235978','7973164','Charlotte-1224494','2025-01-11T07:00:00-05:00','35.2271','-80.8431','relativehumidity','%','68.05416679382324']
