location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530108','Charlotte-1224494','2025-04-25T03:00:00-04:00','35.2271','-80.8431','temperature','c','13.409590085347494']
['1235978','6530108','Charlotte-1224494','2025-04-25T07:00:00-04:00','35.2271','-80.8431','temperature','c','13.482085386912027']
['1235978','6530108','Charlotte-1224494','2025-04-25T11:00:00-04:00','35.2271','-80.8431','temperature','c','16.21272325515747']
['1235978','6530108','Charlotte-1224494','2025-04-25T15:00:00-04:00','35.2271','-80.8431','temperature','c','22.213684399922688']
['1235978','6530108','Charlotte-1224494','2025-04-25T19:00:00-04:00','35.2271','-80.8431','temperature','c','20.91683228810628']
