location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530108','Charlotte-1224494','2025-03-12T08:00:00-04:00','35.2271','-80.8431','temperature','c','3.6348703702290854']
['1235978','6530108','Charlotte-1224494','2025-03-12T12:00:00-04:00','35.2271','-80.8431','temperature','c','23.454151789347332']
['1235978','6530108','Charlotte-1224494','2025-03-12T16:00:00-04:00','35.2271','-80.8431','temperature','c','23.313189029693604']
['1235978','6530108','Charlotte-1224494','2025-03-12T20:00:00-04:00','35.2271','-80.8431','temperature','c','16.764490207036335']
