location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530128','Charlotte-1224494','2025-02-23T14:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','6.583333333333333']
['1235978','6530128','Charlotte-1224494','2025-02-23T18:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','6.083333333333333']
['1235978','6530128','Charlotte-1224494','2025-02-23T22:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','20.458333333333332']
['1235978','7970784','Charlotte-2490581','2025-02-23T02:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','6.208333333333333']
