location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-04-22T17:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','412.875']
['1235978','7973146','Charlotte-1224494','2025-04-22T21:00:00-04:00','35.2271','-80.8431','um003','particles/cm³','571.125']
['location_id','sensors_id','location','datetime','lat','lon','parameter','units','value']
['1235978','6530128','Charlotte-1224494','2025-04-23T04:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','6.208333333333333']
['1235978','6530128','Charlotte-1224494','2025-04-23T08:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','8.791666666666666']
['1235978','6530128','Charlotte-1224494','2025-04-23T12:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','8.375']
