location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7970784','Charlotte-2490581','2025-04-08T03:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','0.4583333333333333']
['1235978','7970784','Charlotte-2490581','2025-04-08T07:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','0.6666666666666666']
['1235978','7970784','Charlotte-2490581','2025-04-08T11:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','2.5']
['1235978','7970784','Charlotte-2490581','2025-04-08T15:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','3.0416666666666665']
['1235978','7970784','Charlotte-2490581','2025-04-08T19:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','1.9166666666666667']
