location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7970962','Charlotte-2490581','2025-01-05T23:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','9.791666666666666']
['1235978','7970784','Charlotte-2490581','2025-01-05T03:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','11.0']
['1235978','7970784','Charlotte-2490581','2025-01-05T07:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','7.0']
['1235978','7970784','Charlotte-2490581','2025-01-05T11:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','2.1666666666666665']
['1235978','7970784','Charlotte-2490581','2025-01-05T15:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','3.2916666666666665']
