location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530128','Charlotte-1224494','2025-03-09T21:00:00-04:00','35.2271','-80.8431','pm25','µg/m³','7.7727272727272725']
['1235978','7970784','Charlotte-2490581','2025-03-09T01:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.4583333333333333']
['1235978','7970784','Charlotte-2490581','2025-03-09T06:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','1.2916666666666667']
['1235978','7970784','Charlotte-2490581','2025-03-09T10:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','1.3333333333333333']
['1235978','7970784','Charlotte-2490581','2025-03-09T14:00:00-04:00','35.2271','-80.8431','pm1','µg/m³','1.3333333333333333']
