location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7970962','Charlotte-2490581','2025-01-08T02:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','5.708333333333333']
['1235978','7970962','Charlotte-2490581','2025-01-08T06:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','4.541666666666667']
['1235978','7970962','Charlotte-2490581','2025-01-08T10:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.75']
['1235978','7970962','Charlotte-2490581','2025-01-08T14:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','7.291666666666667']
['1235978','7970962','Charlotte-2490581','2025-01-08T18:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','5.5']
