location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973164','Charlotte-1224494','2025-04-04T11:00:00-04:00','35.2271','-80.8431','relativehumidity','%','57.662500063578285']
['1235978','7973164','Charlotte-1224494','2025-04-04T15:00:00-04:00','35.2271','-80.8431','relativehumidity','%','38.11666679382324']
['1235978','7973164','Charlotte-1224494','2025-04-04T19:00:00-04:00','35.2271','-80.8431','relativehumidity','%','40.499999364217125']
['1235978','7973164','Charlotte-1224494','2025-04-04T23:00:00-04:00','35.2271','-80.8431','relativehumidity','%','59.087499936421715']
['1235978','6530108','Charlotte-1224494','2025-04-04T03:00:00-04:00','35.2271','-80.8431','temperature','c','16.98600149154663']
['1235978','6530108','Charlotte-1224494','2025-04-04T07:00:00-04:00','35.2271','-80.8431','temperature','c','16.95780897140503']
