location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-02-28T03:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','241.0']
['1235978','7973146','Charlotte-1224494','2025-02-28T07:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','215.0']
['1235978','7973146','Charlotte-1224494','2025-02-28T11:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','218.25']
['1235978','7973146','Charlotte-1224494','2025-02-28T15:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','180.375']
['1235978','7973146','Charlotte-1224494','2025-02-28T19:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','187.625']
