location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973164','Charlotte-1224494','2025-03-15T00:00:00-04:00','35.2271','-80.8431','relativehumidity','%','59.745832761128746']
['1235978','6530108','Charlotte-1224494','2025-03-14T04:00:00-04:00','35.2271','-80.8431','temperature','c','7.501261591911316']
['1235978','6530108','Charlotte-1224494','2025-03-14T08:00:00-04:00','35.2271','-80.8431','temperature','c','7.050182461738586']
['1235978','6530108','Charlotte-1224494','2025-03-14T12:00:00-04:00','35.2271','-80.8431','temperature','c','16.953781445821125']
['1235978','6530108','Charlotte-1224494','2025-03-14T16:00:00-04:00','35.2271','-80.8431','temperature','c','20.88864040374756']
