location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530128','Charlotte-1224494','2025-02-17T03:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','2.2916666666666665']
['1235978','6530128','Charlotte-1224494','2025-02-17T07:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','1.4166666666666667']
['1235978','6530128','Charlotte-1224494','2025-02-17T11:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','2.1666666666666665']
['1235978','6530128','Charlotte-1224494','2025-02-17T15:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','2.875']
