datetime,location,lat,lon,pm10,pm25,pm1,relativehumidity,temperature,um003
2025-01-01T23:00:00-05:00,Charlotte-1224494,35.2271,-80.8431,,3.5833333333333335,,48.125000635782875,6.0916666984558105,367.125
2025-01-02T00:00:00-05:00,Charlotte-1224494,35.2271,-80.8431,,3.0416666666666665,,47.76249980926514,6.162500023841858,285.75
2025-01-02T00:00:00-05:00,Charlotte-2490581,35.2271,-80.8431,3.1666666666666665,,0.625,,,
2025-01-02T01:00:00-05:00,Charlotte-2490581,35.2271,-80.8431,2.1666666666666665,,0.375,,,
2025-01-02T01:00:00-05:00,Charlotte-1224494,35.2271,-80.8431,,2.0833333333333335,,46.316667238871254,5.920833349227905,238.875
2025-01-02T02:00:00-05:00,Charlotte-2490581,35.2271,-80.8431,1.9166666666666667,,0.2916666666666667,,,
2025-01-02T02:00:00-05:00,Charlotte-1224494,35.2271,-80.8431,,1.7916666666666667,,46.78333346048991,5.141666690508525,200.25
2025-01-02T03:00:00-05:00,Charlotte-2490581,35.2271,-80.8431,1.0833333333333333,,0.041666666666666664,,,
2025-01-02T03:00:00-05:00,Charlotte-1224494,35.2271,-80.8431,,1.0833333333333333,,46.97083377838135,4.6958333651224775,146.25
2025-01-02T04:00:00-05:00,Charlotte-1224494,35.2271,-80.8431,,1.4166666666666667,,47.14583365122477,4.454166650772095,170.0
2025-01-02T04:00:00-05:00,Charlotte-2490581,35.2271,-80.8431,1.5416666666666667,,0.16666666666666666,,,
2025-01-02T05:00:00-05:00,Charlotte-2490581,35.2271,-80.8431,0.8333333333333334,,0.041666666666666664,,,
2025-01-02T05:00:00-05:00,Charlotte-1224494,35.2271,-80.8431,,0.8333333333333334,,50.229166984558105,3.6416666905085244,158.5
2025-01-02T06:00:00-05:00,Charlotte-1224494,35.2271,-80.8431,,1.25,,52.795833587646484,2.9874999721844993,174.875
2025-01-02T06:00:00-05:00,Charlotte-2490581,35.2271,-80.8431,1.5416666666666667,,0.041666666666666664,,,
2025-01-02T07:00:00-05:00,Charlotte-2490581,35.2271,-80.8431,3.2916666666666665,,0.75,,,
2025-01-02T07:00:00-05:00,Charlotte-1224494,35.2271,-80.8431,,3.0833333333333335,,55.19583288828532,2.3583333492279053,317.625
2025-01-02T08:00:00-05:00,Charlotte-2490581,35.2271,-80.8431,3.2083333333333335,,0.8333333333333334,,,
2025-01-02T08:00:00-05:00,Charlotte-1224494,35.2271,-80.8431,,2.9166666666666665,,57.17916711171468,1.9208333392937977,307.375
